,Normalized 2015 spending,Normalized Poverty Rate,Normalized violent crime,Normalized GPD per Capita
UT,-1.467950789,-1.018421781,-0.946615666,-0.448826104
ID,-1.406897385,-0.03090198,-1.03049543,-1.396270516
AZ,-1.270724352,1.088287127,0.859147902,-1.000650064
OK,-1.126171441,0.5616099,0.511550158,0.851443278
MS,-0.9451062,2.306228215,-0.632569828,-1.817924886
NC,-0.917572312,0.75911386,-0.109160098,-0.412806574
TN,-0.912484528,1.088287127,1.822087597,-0.596351639
FL,-0.879862857,0.5616099,0.188109787,-1.004097478
NV,-0.86759232,0.16660198,1.180575159,-0.465706544
TX,-0.850832562,0.75911386,0.395460564,0.730902671
SD,-0.802648258,-0.261323267,0.359895544,-0.00815152
AL,-0.784990656,1.417460394,0.967856076,-1.225207466
CO,-0.683534264,-0.919669801,-0.079634421,0.615117118
NM,-0.648518342,1.878302968,2.707857909,-0.713563708
GA,-0.625473675,1.154121781,-0.152777576,-0.419820278
AR,-0.602429008,1.252873761,1.173864778,-1.259562727
IN,-0.599136912,0.100767327,0.127716356,-0.269560587
KY,-0.597041943,1.351625741,-1.034521659,-1.015985111
KS,-0.568909492,-0.458827227,0.221661692,-0.100042929
SC,-0.481519326,0.989535147,0.847069216,-1.254094416
MO,-0.462664598,0.199519307,1.008789401,-0.523361568
OR,-0.304344743,0.495775247,-0.658740315,-1.010754553
LA,-0.24568559,1.647881681,1.187956578,-0.307957644
IA,-0.211866793,-0.853835147,-0.580899893,0.282144496
WV,-0.17026668,1.121204454,-0.196395053,-1.270023845
MT,-0.152908359,0.100767327,-0.019240991,-0.907094386
VA,-0.127469441,-1.018421781,-1.152624367,0.470563492
WI,-0.120286688,-0.557579207,-0.403074793,-0.059981604
CA,-0.108913995,0.495775247,0.465248528,1.606545775
WA,-0.096942739,-0.557579207,-0.506414662,0.969606357
MI,-0.057138314,0.429940594,0.469945795,-0.633678809
OH,0.072749809,0.298271287,-0.55338733,-0.054632168
NE,0.131708243,-0.853835147,-0.497020129,0.743503563
MN,0.156548598,-1.150091088,-0.950641895,0.732329187
ME,0.425004005,-0.195488614,-1.737769604,-1.049745991
ND,0.452837175,-1.248843068,-0.662095505,-0.412806574
HI,0.565366978,-1.117173761,-0.868104206,0.315310995
IL,0.694656538,-0.195488614,0.394789526,0.707365156
MD,0.702437854,-1.479264355,0.806806929,0.850967772
DE,0.854173519,-0.623413861,0.492761091,1.95271367
NH,1.042122232,-1.874272275,-1.216372988,0.313290097
PA,1.065466181,-0.4259099,-0.447363308,0.269900234
RI,1.099284978,-0.03090198,-0.99157522,-0.020990165
MA,1.117541143,-1.051339108,-0.147409271,1.862248777
AK,1.691263568,-1.150091088,3.013180251,1.993012749
VT,1.799603431,-0.886752474,-1.437144528,-0.452392394
NJ,1.958222568,-1.248843068,-1.014390516,1.044973956
CT,2.12432374,-1.347595048,-1.01975882,1.829676661
NY,3.144574,0.331188613,-0.156132766,1.970426245
