Group,Credit Borrows Score,Debt to Income
High,Class 1,Level 2
High,Class 1,Level 2
High,Class 1,Level 4
High,Class 1,Level 1
High,Class 1,Level 2
High,Class 1,Level 3
High,Class 1,Level 1
High,Class 1,Level 2
High,Class 1,Level 3
High,Class 1,Level 1
High,Class 1,Level 3
High,Class 1,Level 3
High,Class 1,Level 1
High,Class 1,Level 1
High,Class 1,Level 3
High,Class 1,Level 1
High,Class 1,Level 2
High,Class 1,Level 3
High,Class 1,Level 3
Int,Class 3,Level 2
Int,Class 3,Level 3
Int,Class 3,Level 2
Int,Class 5,Level 2
Int,Class 3,Level 5
Int,Class 3,Level 2
Int,Class 4,Level 3
Int,Class 5,Level 3
Int,Class 3,Level 3
Int,Class 5,Level 4
Int,Class 3,Level 5
Int,Class 5,Level 4
Int,Class 3,Level 3
Low,Class 3,Level 4
Low,Class 4,Level 6
Low,Class 4,Level 6
Low,Class 5,Level 4
Low,Class 5,Level 5
Low,Class 5,Level 6
Low,Class 5,Level 6
Low,Class 4,Level 5
Low,Class 5,Level 6
Low,Class 5,Level 6
Low,Class 5,Level 6
Low,Class 4,Level 6
Low,Class 5,Level 6
Low,Class 4,Level 4
Low,Class 4,Level 5
Low,Class 5,Level 5
Low,Class 4,Level 6
Low,Class 4,Level 4
