English,Reading,Mechanical,Abstract Reasoning,Math ,Office Skills
90,28,12,9,26,6
92,43,15,12,37,6
96,44,15,10,43,11
83,33,15,11,27,23
85,39,12,12,36,23
47,24,8,4,11,13
94,45,15,14,46,14
98,44,17,9,31,13
87,41,16,13,40,24
82,28,15,7,27,26
76,39,18,10,36,17
77,27,14,9,20,0
89,40,7,10,24,26
95,45,13,12,28,24
90,35,9,7,20,19
86,24,9,11,12,13
71,17,13,9,15,23
85,35,11,10,22,0
70,12,8,2,11,10
92,46,14,10,38,6
98,35,18,9,25,17
83,31,14,10,22,27
81,41,13,11,16,7
96,43,19,12,37,16
89,40,16,13,39,23
94,39,4,9,15,15
92,37,18,11,29,20
93,46,5,11,28,36
89,42,9,12,32,23
86,23,4,8,15,37
95,40,9,11,35,29
84,37,6,9,11,15
101,43,15,12,40,11
87,28,6,6,7,36
98,45,9,9,20,26
95,41,13,12,22,34
81,43,7,9,15,13
88,40,9,11,28,26
88,17,2,5,12,30
84,25,10,7,18,30
85,24,8,11,19,17
81,32,7,9,16,37
93,32,4,15,24,17
83,32,4,3,13,37
99,39,12,10,25,37
91,43,8,9,29,3
107,42,13,12,39,1
94,41,10,14,41,30
87,28,10,10,20,27
92,30,12,9,19,30
104,42,13,9,33,21
79,28,10,12,27,19
72,14,4,9,7,39
63,15,8,4,9,27
94,32,11,8,22,20
84,31,5,9,27,11
80,21,11,7,18,30
82,32,8,8,5,33
74,27,7,1,13,34
102,44,11,12,27,33
96,44,9,12,30,31
93,44,14,9,25,16
84,42,17,8,16,31
93,33,10,9,17,27
81,28,4,8,18,29
95,42,21,9,35,26
66,17,6,4,14,21
103,37,9,12,24,10
102,42,11,10,34,20
86,30,8,6,21,26
91,42,7,8,17,24
103,33,9,10,19,39
111,46,14,13,47,24
88,35,13,7,11,19
87,36,12,15,26,23
77,35,6,10,18,15
71,16,2,9,7,0
109,45,14,13,33,33
95,31,4,10,16,24
93,37,9,11,44,10
84,27,8,10,26,29
79,38,6,12,19,33
100,40,8,7,23,24
88,34,8,9,21,21
75,37,11,0,11,24
87,41,12,7,16,39
85,30,7,8,20,23
82,22,4,6,13,36
78,42,12,9,20,37
102,48,11,13,41,9
96,45,6,9,22,23
76,40,8,8,20,26
75,29,2,4,10,24
86,35,6,7,22,7
81,24,10,11,14,34
100,46,12,11,23,23
84,30,13,8,27,36
81,31,11,12,19,31
99,38,8,13,24,40
91,36,10,9,16,30
92,37,14,9,23,39
87,31,2,9,23,30
98,33,13,10,26,21
76,26,7,10,20,33
88,21,6,7,11,36
86,36,8,10,20,14
86,35,6,3,28,3
80,24,7,10,19,30
90,21,6,9,23,34
90,33,10,9,20,27
90,38,8,9,25,34
90,39,12,10,25,16
89,37,12,13,16,27
99,29,10,13,23,33
100,42,9,14,21,39
94,42,12,12,20,33
81,19,7,7,11,19
88,27,7,12,16,33
93,25,9,9,25,36
88,18,2,8,16,40
105,46,11,11,34,9
91,25,7,7,18,40
94,39,9,10,29,13
67,14,7,7,17,31
107,38,6,9,33,37
74,17,4,4,6,26
