Gymnast,Vault,Bars,Beam,Floor
Simone Biles,32.2,29.85,29.95,31.25
Christina Desiderio,27.25,27,29.05,26.35
Gabby Douglas,30.1,30.35,27.8,29.2
Brenna Dowell,29.95,29.85,27.75,29.05
Rachel Gowey,29.3,29.7,28.9,26.35
Laurie Hernandez,30.3,29.65,31.2,30
Amelia Hundley,30.05,29.45,28.5,28.85
Maggie Nichols,30.2,30.15,28.6,29.65
Madison Kocian,27.9,31.65,28.55,28.95
Ashton Locklear,0,31.45,27.6,0
Aly Raisman,30.45,28.75,30.05,30.5
Emily Schild,29.65,28.05,26.9,27.35
MyKayla Skinner,30.95,28.7,29.35,29.6
Regan Smith,29.25,29.1,30.2,29.2
