ID,choice,tt1,tc1,hw1,ch1,tt2,tc2,hw2,ch2,hh_inc_abs,car_availability,half_discount_ticket,full_discount_ticket,commute,shopping,business,leisure
2439,1,58,7,30,1,50,8,30,0,50000,1,0,0,1,0,0,0
2439,0,30,8,60,0,41,7,15,2,50000,1,0,0,1,0,0,0
2439,0,41,7,30,0,34,8,15,2,50000,1,0,0,1,0,0,0
2439,0,44,10,60,1,52,9,60,2,50000,1,0,0,1,0,0,0
2439,1,43,9,60,0,34,10,30,0,50000,1,0,0,1,0,0,0
2439,1,36,8,60,1,43,7,15,1,50000,1,0,0,1,0,0,0
2439,1,30,8,60,0,43,7,15,0,50000,1,0,0,1,0,0,0
2439,0,43,8,30,1,30,9,60,0,50000,1,0,0,1,0,0,0
2439,0,41,8,30,2,58,7,60,0,50000,1,0,0,1,0,0,0
5641,0,77,19,15,1,110,16,60,1,10000,0,0,1,0,0,0,1
5641,1,94,23,60,1,125,18,15,0,10000,0,0,1,0,0,0,1
5641,1,82,18,60,2,91,15,30,0,10000,0,0,1,0,0,0,1
5641,1,101,15,60,0,86,20,15,0,10000,0,0,1,0,0,0,1
5641,0,99,18,15,0,110,16,15,0,10000,0,0,1,0,0,0,1
5641,0,91,18,30,1,101,16,15,0,10000,0,0,1,0,0,0,1
5641,0,91,16,15,2,73,19,15,2,10000,0,0,1,0,0,0,1
5641,0,68,20,30,2,91,18,60,2,10000,0,0,1,0,0,0,1
5641,1,86,21,30,2,60,27,15,1,10000,0,0,1,0,0,0,1
9364,1,15,4,60,2,11,5,15,1,30000,1,1,0,0,0,0,1
9364,1,12,6,60,1,14,5,60,1,30000,1,1,0,0,0,0,1
9364,0,14,4,60,0,11,5,30,2,30000,1,1,0,0,0,0,1
9364,0,15,5,30,0,11,6,15,1,30000,1,1,0,0,0,0,1
9364,1,15,5,30,2,11,6,15,1,30000,1,1,0,0,0,0,1
9364,1,12,8,30,2,17,6,15,2,30000,1,1,0,0,0,0,1
9364,1,13,6,60,0,17,5,15,2,30000,1,1,0,0,0,0,1
9364,1,21,6,30,0,16,7,15,1,30000,1,1,0,0,0,0,1
9364,0,14,4,15,1,10,5,30,1,30000,1,1,0,0,0,0,1
10213,1,62,7,30,1,53,8,30,0,50000,0,0,1,1,0,0,0
10213,1,43,7,15,2,32,8,60,0,50000,0,0,1,1,0,0,0
10213,1,37,9,15,2,43,7,30,0,50000,0,0,1,1,0,0,0
10213,1,55,9,60,2,47,10,60,1,50000,0,0,1,1,0,0,0
10213,0,36,10,30,0,46,9,60,0,50000,0,0,1,1,0,0,0
10213,0,39,8,60,1,46,7,15,1,50000,0,0,1,1,0,0,0
10213,0,32,8,60,0,46,7,15,0,50000,0,0,1,1,0,0,0
10213,1,46,8,30,1,32,9,60,0,50000,0,0,1,1,0,0,0
10213,0,44,8,30,2,62,7,60,0,50000,0,0,1,1,0,0,0
11429,1,34,4,30,1,29,5,30,0,90000,1,1,0,0,0,0,1
11429,1,18,5,60,0,23,4,15,2,90000,1,1,0,0,0,0,1
11429,1,20,5,15,2,23,4,30,0,90000,1,1,0,0,0,0,1
11429,1,30,5,60,2,25,6,60,1,90000,1,1,0,0,0,0,1
11429,1,25,5,60,0,20,6,30,0,90000,1,1,0,0,0,0,1
11429,0,25,4,15,1,21,5,60,1,90000,1,1,0,0,0,0,1
11429,0,25,4,15,0,17,5,60,0,90000,1,1,0,0,0,0,1
11429,1,25,4,30,1,17,5,60,0,90000,1,1,0,0,0,0,1
11429,0,24,5,30,2,34,4,60,0,90000,1,1,0,0,0,0,1
11934,0,39,13,15,1,29,15,15,2,167500,0,1,0,1,0,0,0
11934,0,31,10,60,0,21,13,60,2,167500,0,1,0,1,0,0,0
11934,0,23,14,15,0,32,12,60,0,167500,0,1,0,1,0,0,0
11934,0,44,10,15,1,35,11,15,2,167500,0,1,0,1,0,0,0
11934,1,29,13,60,2,39,10,30,0,167500,0,1,0,1,0,0,0
11934,1,32,10,15,1,24,13,30,1,167500,0,1,0,1,0,0,0
11934,0,29,13,15,1,36,11,30,0,167500,0,1,0,1,0,0,0
11934,0,31,13,30,0,39,10,30,2,167500,0,1,0,1,0,0,0
11934,1,36,10,60,1,27,12,15,1,167500,0,1,0,1,0,0,0
12049,0,43,35,30,0,51,32,30,1,137500,1,0,1,1,0,0,0
12049,0,26,36,60,0,35,32,15,2,137500,1,0,1,1,0,0,0
12049,1,35,32,30,0,30,38,15,2,137500,1,0,1,1,0,0,0
12049,1,45,38,60,2,38,42,60,1,137500,1,0,1,1,0,0,0
12049,1,37,40,60,0,30,46,30,0,137500,1,0,1,1,0,0,0
12049,1,31,35,60,1,37,30,15,1,137500,1,0,1,1,0,0,0
12049,0,37,30,15,0,26,36,60,0,137500,1,0,1,1,0,0,0
12049,0,26,39,60,0,37,35,30,1,137500,1,0,1,1,0,0,0
12049,1,51,32,60,0,35,36,30,2,137500,1,0,1,1,0,0,0
12063,1,19,3,60,2,14,4,15,1,10000,0,0,0,1,0,0,0
12063,0,18,3,60,1,14,4,60,1,10000,0,0,0,1,0,0,0
12063,1,14,4,30,2,18,3,60,0,10000,0,0,0,1,0,0,0
12063,0,19,3,30,0,14,4,15,1,10000,0,0,0,1,0,0,0
12063,1,13,4,15,1,19,3,30,2,10000,0,0,0,1,0,0,0
12063,1,15,5,30,2,21,3,15,2,10000,0,0,0,1,0,0,0
12063,0,21,3,15,2,16,4,60,0,10000,0,0,0,1,0,0,0
12063,0,26,3,30,0,20,4,15,1,10000,0,0,0,1,0,0,0
12063,0,18,3,15,1,13,4,30,1,10000,0,0,0,1,0,0,0
12083,1,57,20,60,2,43,22,15,1,70000,0,0,0,0,0,0,1
12083,0,54,21,60,1,43,28,60,1,70000,0,0,0,0,0,0,1
12083,0,54,20,60,0,41,22,30,2,70000,0,0,0,0,0,0,1
12083,0,57,21,30,0,43,28,15,1,70000,0,0,0,0,0,0,1
12083,1,57,21,30,2,40,23,15,1,70000,0,0,0,0,0,0,1
12083,1,44,34,30,2,63,25,15,2,70000,0,0,0,0,0,0,1
12083,1,63,21,15,2,47,24,60,0,70000,0,0,0,0,0,0,1
12083,1,78,25,30,0,59,29,15,1,70000,0,0,0,0,0,0,1
12083,1,54,20,15,1,38,23,30,1,70000,0,0,0,0,0,0,1
12359,1,26,12,15,2,35,10,15,1,112500,0,1,0,1,0,0,0
12359,0,27,8,60,0,19,10,60,2,112500,0,1,0,1,0,0,0
12359,1,29,10,60,0,20,11,15,0,112500,0,1,0,1,0,0,0
12359,0,39,8,15,1,31,9,15,2,112500,0,1,0,1,0,0,0
12359,1,26,10,60,2,35,8,30,0,112500,0,1,0,1,0,0,0
12359,1,21,10,30,1,29,8,15,1,112500,0,1,0,1,0,0,0
12359,1,31,9,30,0,25,10,15,1,112500,0,1,0,1,0,0,0
12359,1,35,8,30,2,28,10,30,0,112500,0,1,0,1,0,0,0
12359,0,24,9,15,1,31,8,60,1,112500,0,1,0,1,0,0,0
12375,1,20,2,30,1,17,3,30,0,112500,0,0,0,1,0,0,0
12375,1,14,2,15,2,10,3,60,0,112500,0,0,0,1,0,0,0
12375,0,11,3,15,2,14,2,30,0,112500,0,0,0,1,0,0,0
12375,1,17,3,60,2,15,4,60,1,112500,0,0,0,1,0,0,0
12375,1,14,3,60,0,11,4,30,0,112500,0,0,0,1,0,0,0
12375,1,12,3,60,1,14,2,15,1,112500,0,0,0,1,0,0,0
12375,1,10,3,60,0,14,2,15,0,112500,0,0,0,1,0,0,0
12375,0,10,3,60,0,14,2,30,1,112500,0,0,0,1,0,0,0
12375,1,14,3,30,2,20,2,60,0,112500,0,0,0,1,0,0,0
