Country Name,GDP per capita,AvgLifeExp,logGDP,Inequity,EducSpending,PovertyRate,DummyVar
Aruba,25300,75.33217073,4.403120521,31.5,6,0.32,25.29225634
Angola,6800,51.86617073,3.832508913,42.7,3.5,0.366,41.77315389
Albania,12500,77.5372439,4.096910013,29,3.3,0.545,21.46953744
United Arab Emirates,67700,77.13129268,4.830588669,25.5,6.2,0.195,21.96290347
Argentina,20900,76.18729268,4.320146286,41.7,6.3,0.23,33.81386286
Armenia,9500,74.5407561,3.977723605,31.5,3.3,0.32,29.98121873
Antigua and Barbuda,26300,75.82929268,4.419955748,42.7,2.4,0.23,31.18765497
Australia,50300,82.19756098,4.701567985,30.3,5.6,0.32,20.50823722
Austria,49900,80.8902439,4.698100546,30.5,5.9,0.32,24.56784807
Azerbaijan,17500,70.69314634,4.243038049,33.7,2.4,0.03,27.26447326
Burundi,700,54.09719512,2.84509804,42.4,5.8,0.646,32.73833294
Belgium,46600,80.38536585,4.668385917,25.9,6.6,0.151,15.80971032
Benin,2300,59.28756098,3.361727836,36.5,5.3,0.362,29.27988263
Burkina Faso,1900,56.27502439,3.278753601,39.5,3.4,0.401,28.29552534
Bangladesh,4200,70.69339024,3.62324929,32.1,2.2,0.243,31.0235372
Bulgaria,21700,74.46585366,4.336459734,40.2,4.1,0.234,29.14665809
Bahrain,48500,76.66987805,4.685741739,33.7,2.6,0.093,22.5571223
"Bahamas, The",31200,75.07256098,4.494154594,33.7,2.4,0.093,33.18851807
Bosnia and Herzegovina,12700,76.27990244,4.103803721,33.8,6.9,0.169,20.87064057
Belarus,18900,72.47073171,4.276461804,26.5,5.1,0.057,23.68456607
Belize,8300,73.90487805,3.919078092,25.9,6.6,0.41,15.83900479
Bermuda,99400,80.57243902,4.997386384,36.5,2.6,0.11,32.73853871
Bolivia,7500,67.21736585,3.875061263,47,6.9,0.386,39.75401003
Brazil,15600,73.88595122,4.193124598,49,5.8,0.042,29.41611452
Barbados,18700,75.29641463,4.271841607,32.1,5.6,0.243,20.12914306
Brunei Darussalam,78200,78.56643902,4.893206753,49,3.5,0.042,33.78435521
Bhutan,8700,68.30231707,3.939519253,38.8,4.7,0.12,25.79972573
Botswana,17800,47.40560976,4.250420002,60.5,9.5,0.193,47.60708564
Central African Republic,700,50.13680488,2.84509804,43.6,1.2,0.62,40.33996274
Canada,48300,81.40112195,4.683947131,32.1,5.4,0.094,28.73144921
Switzerland,61400,82.74878049,4.788168371,29.5,5.2,0.066,24.00299766
Channel Islands,2300,80.25953659,3.361727836,43.3,2.3,0.467,38.68876973
Chile,24500,79.83680488,4.389166084,50.5,4.5,0.467,36.07153
China,16700,75.35302439,4.222716471,46.5,4.5,0.033,38.24716696
Cote d'Ivoire,3900,50.75741463,3.591064607,41.5,4.6,0.463,39.54030554
Cameroon,3700,55.04180488,3.568201724,44.6,3.2,0.3,35.91842091
"Congo, Rep.",800,58.77,2.903089987,42.1,2.5,0.465,40.10381787
Colombia,14500,73.97882927,4.161368002,51.1,4.4,0.28,49.86265962
Comoros,1600,60.8574878,3.204119983,55.9,7.6,0.448,46.14033503
Cabo Verde,6900,74.87068293,3.838849091,42.4,5,0.3,32.59926479
Costa Rica,16900,79.921,4.227886705,48.5,6.3,0.217,40.157539
Cuba,12300,79.23926829,4.089905111,30.8,12.8,0.195,28.71491771
Cyprus,37000,79.80431707,4.568201724,34.8,7.3,0.195,28.61562093
Czech Republic,37000,78.27804878,4.568201724,34.8,7.3,0.195,23.93753129
Germany,50400,81.04390244,4.702430536,27,5.1,0.167,19.62064244
Djibouti,3600,61.78695122,3.556302501,40.9,8.4,0.23,37.33989118
Denmark,49900,80.30243902,4.698100546,29,8.7,0.134,18.38609656
Dominican Republic,16900,73.45095122,4.227886705,47.1,2.2,0.305,36.89988156
Algeria,15200,71.00965854,4.181843588,35.3,4.3,0.143,30.32416501
Ecuador,11500,76.46507317,4.06069784,45.9,4.4,0.215,36.4507305
"Egypt, Arab Rep.",12700,71.13292683,4.103803721,31.8,3.8,0.278,24.5483082
Eritrea,1600,62.75463415,3.204119983,36,2.1,0.5,21.61585525
Spain,38300,82.42682927,4.583198774,35.9,5,0.211,29.7074661
Estonia,31800,76.42439024,4.50242712,34.8,5.7,0.211,33.41724241
Ethiopia,2200,63.61734146,3.342422681,33,4.7,0.296,20.71132572
Finland,44300,80.83170732,4.646403726,27.2,6.8,0.31,26.29779701
Fiji,9800,69.923,3.991226076,22.7,4.2,0.31,16.56700888
France,43800,81.96829268,4.641474111,29.3,5.9,0.142,27.06410746
Faeroe Islands,40900,81.3,4.611723308,30.8,4.7,0.098,24.27033157
"Micronesia, Fed. Sts.",19900,68.96097561,4.298853076,48.2,5.1,0.462,47.624409
Gabon,19200,63.441,4.283301229,42.2,5.9,0.343,32.18085011
United Kingdom,44100,80.95609756,4.644438589,32.4,6.2,0.15,29.06591249
Georgia,10700,74.0795122,4.029383778,40.1,2,0.092,27.28764855
Ghana,4700,61.09863415,3.672097858,42.3,8.1,0.242,31.49795163
Guinea,2000,56.09165854,3.301029996,39.4,2.5,0.47,26.4042157
"Gambia, The",1700,58.83134146,3.230448921,50.2,4.1,0.343,41.48668679
Guinea-Bissau,1800,54.27170732,3.255272505,39.4,2.5,0.67,34.58927117
Equatorial Guinea,36000,53.11456098,4.556302501,36,0.6,0.44,26.92222552
Greece,27700,80.63414634,4.442479769,36.7,4.1,0.36,26.06571481
