,NAME,CASESPER10000,COUNTS,Population
1,Albany,7.351362604,226,307426
2,Allegany,1.48856991,7,47025
3,Bronx,54.34419754,7814,1437872
4,Broome,1.9547124,38,194402
5,Cattaraugus,0.772339933,6,77686
6,Cayuga,0.385267376,3,77868
7,Chautauqua,0.462763004,6,129656
8,Chemung,2.332633543,20,85740
9,Chenango,3.929841979,19,48348
10,Clinton,2.599202911,21,80794
11,Columbia,4.924571973,30,60919
12,Cortland,1.662406749,8,48123
13,Delaware,3.516328953,16,45502
14,Dutchess,16.46852266,484,293894
15,Erie,4.761563097,438,919866
16,Essex,1.059574581,4,37751
17,Franklin,1.775428075,9,50692
18,Fulton,0.186070744,1,53743
19,Genesee,1.720814978,10,58112
20,Greene,3.360144486,16,47617
21,Hamilton,4.371584699,2,4575
22,Herkimer,1.919846412,12,62505
23,Kings,42.91074833,11160,2600747
24,Lewis,0.748531008,2,26719
25,Livingston,2.034205956,13,63907
26,Monroe,3.923423375,292,744248
27,Montgomery,1.416258649,7,49426
28,Nassau,62.98265323,8544,1356564
29,New York,40.0556209,6539,1632480
30,Niagara,1.983902052,42,211704
31,Onondaga,4.178854994,194,464242
32,Ontario,2.009646302,22,109472
33,Orange,41.13931581,1556,378227
34,Orleans,1.458966565,6,41125
35,Oswego,1.259403546,15,119104
36,Otsego,2.987849412,18,60244
37,Putnam,18.77460382,186,99070
38,Queens,60.33901048,13869,2298513
39,Rensselaer,2.571645414,41,159431
40,Richmond,49.65186743,2354,474101
41,Rockland,88.44991751,2863,323686
42,Saratoga,4.749820782,108,227377
43,Schenectady,5.488013533,85,154883
44,Schoharie,1.913021298,6,31364
45,Schuyler,1.111605158,2,17992
46,Seneca,0.577834277,2,34612
47,St Lawrence,2.738275617,30,109558
48,Steuben,2.476090253,24,96927
49,Suffolk,45.11724906,6713,1487901
50,Sullivan,14.49256093,109,75211
51,Tioga,1.427260679,7,49045
52,Tompkins,6.410131893,66,102962
53,Ulster,11.76778972,211,179303
54,Warren,2.791563275,18,64480
55,Washington,1.617390179,10,61828
56,Wayne,2.091221273,19,90856
57,Westchester,102.8782585,9967,968815
58,Wyoming,2.218661408,9,40565
59,Yates,0.399856052,1,25009
60,Madison,5.745596211,41,71359
61,Oneida,0.953280585,22,230782
62,Jefferson,0,0,114448
