Month,Year,VMT,TimePeriod,Feb,March,April,May,June,July,August,September,October,November,December
Jan,2009,225529,1,0,0,0,0,0,0,0,0,0,0,0
Feb,2009,217643,2,1,0,0,0,0,0,0,0,0,0,0
March,2009,249741,3,0,1,0,0,0,0,0,0,0,0,0
April,2009,251374,4,0,0,1,0,0,0,0,0,0,0,0
May,2009,258276,5,0,0,0,1,0,0,0,0,0,0,0
June ,2009,258395,6,0,0,0,0,1,0,0,0,0,0,0
July,2009,264472,7,0,0,0,0,0,1,0,0,0,0,0
August,2009,260297,8,0,0,0,0,0,0,1,0,0,0,0
September,2009,241970,9,0,0,0,0,0,0,0,1,0,0,0
October,2009,252209,10,0,0,0,0,0,0,0,0,1,0,0
November,2009,237264,11,0,0,0,0,0,0,0,0,0,1,0
December,2009,239593,12,0,0,0,0,0,0,0,0,0,0,1
Jan,2010,220839,13,0,0,0,0,0,0,0,0,0,0,0
Feb,2010,210635,14,1,0,0,0,0,0,0,0,0,0,0
March,2010,254238,15,0,1,0,0,0,0,0,0,0,0,0
April,2010,253936,16,0,0,1,0,0,0,0,0,0,0,0
May,2010,256927,17,0,0,0,1,0,0,0,0,0,0,0
June ,2010,260083,18,0,0,0,0,1,0,0,0,0,0,0
July,2010,265315,19,0,0,0,0,0,1,0,0,0,0,0
August,2010,263837,20,0,0,0,0,0,0,1,0,0,0,0
September,2010,244682,21,0,0,0,0,0,0,0,1,0,0,0
October,2010,256395,22,0,0,0,0,0,0,0,0,1,0,0
November,2010,239579,23,0,0,0,0,0,0,0,0,0,1,0
December,2010,240800,24,0,0,0,0,0,0,0,0,0,0,1
Jan,2011,223790,25,0,0,0,0,0,0,0,0,0,0,0
Feb,2011,213463,26,1,0,0,0,0,0,0,0,0,0,0
March,2011,253124,27,0,1,0,0,0,0,0,0,0,0,0
April,2011,249578,28,0,0,1,0,0,0,0,0,0,0,0
May,2011,254083,29,0,0,0,1,0,0,0,0,0,0,0
June ,2011,258350,30,0,0,0,0,1,0,0,0,0,0,0
July,2011,260175,31,0,0,0,0,0,1,0,0,0,0,0
August,2011,260526,32,0,0,0,0,0,0,1,0,0,0,0
September,2011,242062,33,0,0,0,0,0,0,0,1,0,0,0
October,2011,251906,34,0,0,0,0,0,0,0,0,1,0,0
November,2011,238535,35,0,0,0,0,0,0,0,0,0,1,0
December,2011,244810,36,0,0,0,0,0,0,0,0,0,0,1
Jan,2012,227527,37,0,0,0,0,0,0,0,0,0,0,0
Feb,2012,218196,38,1,0,0,0,0,0,0,0,0,0,0
March,2012,256166,39,0,1,0,0,0,0,0,0,0,0,0
April,2012,249394,40,0,0,1,0,0,0,0,0,0,0,0
May,2012,260774,41,0,0,0,1,0,0,0,0,0,0,0
June ,2012,260376,42,0,0,0,0,1,0,0,0,0,0,0
July,2012,260244,43,0,0,0,0,0,1,0,0,0,0,0
August,2012,264379,44,0,0,0,0,0,0,1,0,0,0,0
September,2012,238867,45,0,0,0,0,0,0,0,1,0,0,0
October,2012,253574,46,0,0,0,0,0,0,0,0,1,0,0
November,2012,240361,47,0,0,0,0,0,0,0,0,0,1,0
December,2012,238709,48,0,0,0,0,0,0,0,0,0,0,1
Jan,2013,229419,49,0,0,0,0,0,0,0,0,0,0,0
Feb,2013,215803,50,1,0,0,0,0,0,0,0,0,0,0
March,2013,253026,51,0,1,0,0,0,0,0,0,0,0,0
April,2013,252064,52,0,0,1,0,0,0,0,0,0,0,0
May,2013,263406,53,0,0,0,1,0,0,0,0,0,0,0
June ,2013,259980,54,0,0,0,0,1,0,0,0,0,0,0
July,2013,263946,55,0,0,0,0,0,1,0,0,0,0,0
August,2013,268061,56,0,0,0,0,0,0,1,0,0,0,0
September,2013,242536,57,0,0,0,0,0,0,0,1,0,0,0
October,2013,258748,58,0,0,0,0,0,0,0,0,1,0,0
November,2013,240055,59,0,0,0,0,0,0,0,0,0,1,0
December,2013,241237,60,0,0,0,0,0,0,0,0,0,0,1
Jan,2014,226413,61,0,0,0,0,0,0,0,0,0,0,0
Feb,2014,213949,62,1,0,0,0,0,0,0,0,0,0,0
March,2014,253424,63,0,1,0,0,0,0,0,0,0,0,0
April,2014,256736,64,0,0,1,0,0,0,0,0,0,0,0
May,2014,266237,65,0,0,0,1,0,0,0,0,0,0,0
June ,2014,263459,66,0,0,0,0,1,0,0,0,0,0,0
July,2014,270053,67,0,0,0,0,0,1,0,0,0,0,0
August,2014,268831,68,0,0,0,0,0,0,1,0,0,0,0
September,2014,247688,69,0,0,0,0,0,0,0,1,0,0,0
October,2014,265144,70,0,0,0,0,0,0,0,0,1,0,0
November,2014,241451,71,0,0,0,0,0,0,0,0,0,1,0
December,2014,252271,72,0,0,0,0,0,0,0,0,0,0,1
Jan,2015,233498,73,0,0,0,0,0,0,0,0,0,0,0
Feb,2015,217220,74,1,0,0,0,0,0,0,0,0,0,0
March,2015,258017,75,0,1,0,0,0,0,0,0,0,0,0
April,2015,262817,76,0,0,1,0,0,0,0,0,0,0,0
May,2015,270839,77,0,0,0,1,0,0,0,0,0,0,0
June ,2015,270574,78,0,0,0,0,1,0,0,0,0,0,0
July,2015,278372,79,0,0,0,0,0,1,0,0,0,0,0
August,2015,272209,80,0,0,0,0,0,0,1,0,0,0,0
September,2015,255090,81,0,0,0,0,0,0,0,1,0,0,0
October,2015,268469,82,0,0,0,0,0,0,0,0,1,0,0
November,2015,248843,83,0,0,0,0,0,0,0,0,0,1,0
December,2015,259424,84,0,0,0,0,0,0,0,0,0,0,1
Jan,2016,239679,85,0,0,0,0,0,0,0,0,0,0,0
Feb,2016,223011,86,1,0,0,0,0,0,0,0,0,0,0
March,2016,265147,87,0,1,0,0,0,0,0,0,0,0,0
April,2016,269653,88,0,0,1,0,0,0,0,0,0,0,0
May,2016,277972,89,0,0,0,1,0,0,0,0,0,0,0
June ,2016,276991,90,0,0,0,0,1,0,0,0,0,0,0
July,2016,285160,91,0,0,0,0,0,1,0,0,0,0,0
August,2016,279213,92,0,0,0,0,0,0,1,0,0,0,0
September,2016,262039,93,0,0,0,0,0,0,0,1,0,0,0
October,2016,275610,94,0,0,0,0,0,0,0,0,1,0,0
November,2016,255154,95,0,0,0,0,0,0,0,0,0,1,0
December,2016,264778,96,0,0,0,0,0,0,0,0,0,0,1
Jan,2017,244587,97,0,0,0,0,0,0,0,0,0,0,0
Feb,2017,226947,98,1,0,0,0,0,0,0,0,0,0,0
March,2017,267355,99,0,1,0,0,0,0,0,0,0,0,0
April,2017,272904,100,0,0,1,0,0,0,0,0,0,0,0
May,2017,283956,101,0,0,0,1,0,0,0,0,0,0,0
June ,2017,280537,102,0,0,0,0,1,0,0,0,0,0,0
July,2017,287343,103,0,0,0,0,0,1,0,0,0,0,0
August,2017,283184,104,0,0,0,0,0,0,1,0,0,0,0
September,2017,262673,105,0,0,0,0,0,0,0,1,0,0,0
October,2017,278937,106,0,0,0,0,0,0,0,0,1,0,0
November,2017,257712,107,0,0,0,0,0,0,0,0,0,1,0
December,2017,266535,108,0,0,0,0,0,0,0,0,0,0,1
