Country Name,GDP per capita,Average Life Expectancy,log GDP per capita
Angola,6800,51.86617073,3.832508913
Albania,12500,77.5372439,4.096910013
United Arab Emirates,67700,77.13129268,4.830588669
Belgium,46600,80.38536585,4.668385917
Bahrain,48500,76.66987805,4.685741739
Bhutan,8700,68.30231707,3.939519253
Switzerland,61400,82.74878049,4.788168371
Chile,24500,79.83680488,4.389166084
Comoros,1600,60.8574878,3.204119983
Cabo Verde,6900,74.87068293,3.838849091
Costa Rica,16900,79.921,4.227886705
Cyprus,37000,79.80431707,4.568201724
Germany,50400,81.04390244,4.702430536
Djibouti,3600,61.78695122,3.556302501
Denmark,49900,80.30243902,4.698100546
Algeria,15200,71.00965854,4.181843588
"Egypt, Arab Rep.",12700,71.13292683,4.103803721
Finland,44300,80.83170732,4.646403726
France,43800,81.96829268,4.641474111
Faeroe Islands,40900,81.3,4.611723308
United Kingdom,44100,80.95609756,4.644438589
Hungary,29500,75.26829268,4.469822016
India,7200,66.4562439,3.857332496
Ireland,75500,81.04390244,4.877946952
"Iran, Islamic Rep.",20200,74.0687561,4.305351369
Jordan,12500,73.90141463,4.096910013
Japan,42800,83.33195122,4.631443769
Kiribati,2000,68.84907317,3.301029996
Lebanon,19400,80.12887805,4.28780173
St. Lucia,12800,74.79195122,4.10720997
Liechtenstein,139100,82.38292683,5.14332713
Lesotho,3600,49.33146341,3.556302501
Lithuania,32300,74.16341463,4.509202522
St. Martin (French part),12800,79.17073171,4.10720997
Morocco,8600,70.87212195,3.934498451
Madagascar,1600,64.69139024,3.204119983
"Macedonia, FYR",14900,75.18802439,4.173186268
Montenegro,17700,74.75836585,4.247973266
Mongolia,13000,67.54819512,4.113943352
Mozambique,1200,50.17336585,3.079181246
Mauritius,21600,74.46,4.334453751
Nicaragua,5800,74.78817073,3.763427994
Panama,25400,77.57895122,4.404833717
Philippines,8300,68.7144878,3.919078092
Puerto Rico,37300,78.71119512,4.571708832
Paraguay,9800,72.2734878,3.991226076
French Polynesia,17000,76.33904878,4.230448921
Serbia,15000,75.13658537,4.176091259
Sweden,51500,81.70487805,4.711807229
Chad,2300,51.15907317,3.361727836
Timor-Leste,5400,67.52236585,3.73239376
Tunisia,11800,73.64634146,4.071882007
United States,59500,78.84146341,4.774516966
Uzbekistan,6900,68.22758537,3.838849091
West Bank and Gaza,4300,73.20334146,3.633468456
Samoa,5700,73.26487805,3.755874856
Zambia,4000,58.09278049,3.602059991
Zimbabwe,2300,59.7734878,3.361727836
