,Normalized Education Spending,Normalized Poverty Rate
UT,-1.457922572,-1.038274094
ID,-1.399039001,-0.053816988
AZ,-1.267705547,1.061901065
OK,-1.128290034,0.536857275
MS,-0.953659837,2.276064828
NC,-0.927104501,0.733748696
TN,-0.922197537,1.061901065
FL,-0.890735237,0.536857275
NV,-0.878900794,0.143074433
TX,-0.862736677,0.733748696
SD,-0.816264839,-0.283523646
AL,-0.799234787,1.390053433
CO,-0.701384147,-0.939828383
NM,-0.667612687,1.849466749
GA,-0.645387026,1.127531538
AR,-0.623161365,1.225977249
IN,-0.61998627,0.077443959
KY,-0.617965755,1.324422959
KS,-0.59083313,-0.480415068
SC,-0.506548803,0.963455354
MO,-0.488364171,0.17588967
OR,-0.33567099,0.471226801
LA,-0.279096579,1.619760091
IA,-0.246479699,-0.87419791
WV,-0.206358051,1.094716301
MT,-0.189616643,0.077443959
VA,-0.165081822,-1.038274094
WI,-0.158154343,-0.578860778
CA,-0.147185835,0.471226801
WA,-0.135640037,-0.578860778
MI,-0.097250258,0.405596328
OH,0.028021652,0.27433538
NE,0.084884708,-0.87419791
MN,0.108842239,-1.169535041
ME,0.367756763,-0.217893173
ND,0.394600744,-1.267980752
HI,0.503131247,-1.136719805
IL,0.627825867,-0.217893173
MD,0.635330636,-1.49768741
DE,0.781673628,-0.644491252
NH,0.962942659,-1.891470252
PA,0.985456965,-0.447599831
RI,1.018073845,-0.053816988
MA,1.035681187,-1.071089331
AK,1.589013564,-1.169535041
VT,1.693503038,-0.907013147
NJ,1.846484864,-1.267980752
CT,2.006682813,-1.366426463
D.C.,2.064989094,1.127531538
NY,2.990673462,0.307150617
