UT,ID,AZ,OK,MS,NC,TN,FL,NV,TX,SD,AL,CO,NM,GA,AR,IN,KY,KS,SC,MO,OR,LA,IA,WV,MT,VA,WI,CA,WA,MI,OH,NE,MN,ME,ND,HI,IL,MD,DE,NH,PA,RI,MA,AK,VT,NJ,CT,D.C.,NY
0.0000000,1.0821387,2.6385106,2.1331991,3.4229316,1.9871868,3.2342633,1.9586331,2.2649025,2.2686252,1.5183308,3.0353594,1.1790547,4.3600854,2.4133924,3.0565551,1.6795348,2.5224733,1.4541094,2.7327991,2.2994574,1.9152603,3.4469619,1.3076426,2.5853254,1.8827126,1.3730128,1.4679582,3.3366603,1.5930746,2.3346987,2.0200375,1.6925882,1.6649728,2.1340043,1.8830011,1.9964148,2.5811895,2.6954797,2.8227369,2.6015662,2.5724221,2.6721923,2.8014219,5.1689767,3.1826803,3.3845804,3.6375930,8.8366751,4.8299765
1.0821387,0.0000000,1.9944643,1.8152832,2.4049741,1.2994899,2.7788623,1.3250664,2.0415221,1.8462587,1.5030058,2.3346173,1.6796549,3.8412452,1.6575187,2.4277213,1.3801752,1.5939715,1.5408981,2.1174730,2.0420039,1.2418557,2.8296128,1.6611149,1.8076593,1.5164288,1.8035438,1.5796574,2.6960416,1.8117251,1.9292197,1.6439014,2.0183782,2.1208690,1.8841630,2.2363720,2.3325906,2.5715817,3.1377515,3.0430534,3.1001020,2.5871892,2.5000956,3.1357246,5.1186697,3.2569367,3.6455381,3.9447211,8.9924215,4.7341956
2.6385106,1.9944643,0.0000000,1.0601088,1.8406445,1.0011598,0.9225180,0.8694903,1.0651667,1.0383726,1.5534188,0.5889600,2.3561165,1.8882004,1.1105540,0.7288196,1.3804126,1.7845763,1.8211659,0.7765177,1.2075669,1.7170397,1.2136683,2.5890288,1.4071412,1.6470794,3.0219545,2.3044068,2.4920406,2.4918881,1.3940785,1.9976044,2.7593350,3.1591980,3.0624849,3.1629467,3.2532005,2.4536701,3.3034354,3.0148046,4.1599723,2.9974662,3.0411970,3.5184586,4.5950627,4.0829873,4.3201154,4.5818702,7.9969037,4.6235023
2.1331991,1.8152832,1.0601088,0.0000000,2.3604112,0.8440965,1.4349857,0.9358037,0.9626531,0.3500482,0.9729461,1.3857796,1.6240037,2.4668642,1.1230654,1.4206526,0.9221969,1.8510567,1.2576139,1.2676206,1.0640227,1.5515611,1.5895475,1.9325733,1.5829936,1.4032426,2.3495293,1.7300465,3.1362398,1.7353838,1.2474260,1.5602750,2.0565622,2.4599326,2.7176773,2.6372616,2.6370422,1.9152800,2.7046648,2.3031990,3.5461291,2.4900854,2.6108697,2.7953961,4.8850579,3.6421695,3.7234142,3.9265472,7.3821090,4.1979591
3.4229316,2.4049741,1.8406445,2.3604112,0.0000000,1.7349290,2.5143793,1.9176013,2.7235977,2.1397376,2.8310533,1.6758251,3.4509126,2.9845892,1.4168972,1.9313507,2.4280094,1.1304982,2.9854364,1.9067623,2.6479049,1.9442301,1.9661640,3.3726951,1.4702144,2.4246099,3.5967415,3.0802331,2.7999509,3.2408920,2.3338481,2.3757582,3.5253389,3.8047676,3.0017351,3.8475283,3.8457800,3.2993430,4.4558636,3.9434733,4.7196274,3.4845466,3.1792388,4.2721707,5.5989058,4.2458048,4.7195194,5.0006349,8.8099337,4.7636566
1.9871868,1.2994899,1.0011598,0.8440965,1.7349290,0.0000000,1.7077769,0.4262434,1.2654183,0.6905268,1.1169678,1.2084585,1.7549308,2.7004399,0.4856638,1.3135507,0.7560548,1.0797835,1.3002015,1.0337902,1.2021291,0.8500028,1.5719733,1.8220322,0.9019839,1.0164937,2.1694420,1.5510955,2.5776028,1.6967720,1.0289523,1.1398047,2.0025633,2.3472678,2.1591367,2.4461148,2.4679822,1.9452873,2.8972941,2.5090718,3.3909166,2.2890313,2.2409568,2.8678527,4.7953348,3.2991955,3.5738529,3.8369961,7.9961776,4.0932323
3.2342633,2.7788623,0.9225180,1.4349857,2.5143793,1.7077769,0.0000000,1.5224616,1.0765280,1.4209062,1.8713008,0.8694813,2.6623228,1.1302063,1.7369968,0.7256686,1.7999751,2.5157180,2.1131684,0.9947911,1.2129383,2.3136035,1.0221200,2.9510099,1.9161144,2.0182525,3.4461044,2.6564860,2.7661301,2.8126435,1.5763491,2.4134856,3.0312939,3.4924127,3.5867792,3.4358368,3.5327627,2.4364557,3.1941056,2.9223605,4.4032818,3.1540228,3.3207319,3.5492230,4.2035948,4.3245860,4.4403723,4.6698613,7.4278839,4.4985639
1.9586331,1.3250664,0.8694903,0.9358037,1.9176013,0.4262434,1.5224616,0.0000000,0.9784836,0.8482039,0.9561022,1.0970557,1.6835541,2.5612465,0.7548645,1.1359650,0.6349647,1.3481545,1.1408168,0.8180447,0.9207739,0.9225499,1.5498221,1.7906067,0.9517585,0.8584562,2.1967426,1.4952547,2.2577319,1.7364848,0.8579224,1.2328682,1.9881009,2.3523705,2.2225867,2.3511077,2.4405336,1.8809346,2.7379030,2.4785316,3.3448387,2.2675455,2.2903510,2.8545871,4.4202145,3.2882573,3.5692095,3.8524005,8.1021872,4.1364938
2.2649025,2.0415221,1.0651667,0.9626531,2.7235977,1.2654183,1.0765280,0.9784836,0.0000000,1.0584002,0.8584022,1.3112554,1.6273956,2.1729568,1.5360792,1.1720472,0.9551284,2.2835078,1.0914091,1.0143647,0.4200920,1.7343206,1.5955438,1.9712328,1.7091847,1.2659565,2.4865216,1.7204370,2.5748205,1.9116830,1.0321276,1.7704502,2.0957698,2.5335965,2.8557155,2.4827279,2.6137565,1.7777426,2.3372842,2.2341432,3.4609089,2.4355292,2.6877298,2.7623153,3.9923010,3.5870809,3.6781356,3.9211370,7.5956650,4.1975502
2.2686252,1.8462587,1.0383726,0.3500482,2.1397376,0.6905268,1.4209062,0.8482039,1.0584002,0.0000000,1.0749231,1.2263994,1.7318554,2.3975543,0.8443617,1.2677407,0.8711172,1.6128515,1.3112432,1.0865121,1.0355510,1.3542797,1.3526222,1.9299321,1.2983019,1.2610395,2.3327086,1.6831276,3.0203064,1.6955336,1.0480553,1.3466720,2.0203498,2.4346494,2.5534419,2.5902366,2.5691778,1.7684791,2.7117728,2.2207882,3.4948349,2.3217882,2.3925782,2.7125926,4.8289125,3.4713622,3.5862310,3.7958475,7.3472039,3.9483961
1.5183308,1.5030058,1.5534188,0.9729461,2.8310533,1.1169678,1.8713008,0.9561022,0.8584022,1.0749231,0.0000000,1.8432167,0.8201318,2.9698127,1.5013862,1.7749523,0.4733033,2.0745730,0.3252008,1.4707567,0.8318433,1.3402515,2.1084171,1.1646946,1.6871703,0.8971111,1.6617427,0.9788610,2.7708462,1.1488570,1.0417026,1.2849154,1.3542826,1.7461078,2.2236887,1.8041952,1.9036723,1.4834963,1.9723429,1.8772740,2.7639833,1.9440291,2.1885016,2.2351519,4.3023591,3.0258606,3.1171534,3.3612665,7.7389300,3.9854607
