UT,ID,AZ,OK,MS,NC,TN,FL,NV,TX,SD,AL,CO,NM,GA,AR,IN,KY,KS,SC,MO,OR,LA,IA,WV,MT,VA,WI,CA,WA,MI,OH,NE,MN,ME,ND,HI,IL,MD,DE,NH,PA,RI,MA,AK,VT,NJ,CT,NY
0.0000000,1.3724466,2.8359147,2.5357960,3.6468782,2.0408769,3.5262227,2.1067215,2.5079748,2.5948789,1.7079202,3.2661792,1.5838854,4.7421247,2.4618557,3.3259048,1.7871058,2.5894023,1.6149127,2.9783721,2.5145865,2.0113198,3.6303373,1.5076146,2.7384633,2.0129467,1.6384771,1.5732804,3.2183362,2.0731055,2.4756741,2.1017746,2.0517758,2.0128286,2.2907479,1.9557018,2.1758223,2.9138009,3.1123813,3.6588921,2.7724604,2.7450123,2.7840546,3.5588833,5.6249918,3.3067928,3.7453691,4.2672844,5.4382422
1.3724466,0.0000000,2.2357090,2.8035690,2.4518495,1.6369558,3.2053281,1.5058666,2.4667064,2.7370695,2.0683985,2.5509200,2.5025945,4.3199047,1.9335842,2.6782723,1.8112823,1.6467793,2.0330881,2.3330408,2.4218427,1.3341048,3.2051024,2.2637425,1.8889855,1.6887137,2.4722694,2.0278266,3.6354237,2.8045328,2.2061495,2.0797443,2.8120731,2.8695402,2.0008167,2.4586405,2.8329658,3.3015660,3.8694714,4.3588436,3.5146634,3.0634590,2.8589965,4.3372654,6.2201077,3.4742477,4.3321296,4.9608521,5.7398744
2.8359147,2.2357090,0.0000000,1.9619782,2.1172075,1.2313617,1.1041041,0.9383313,1.1838492,1.8702794,1.8096546,0.6376016,2.8051202,2.1240086,1.3349304,0.7998687,1.5797813,2.0271692,2.0257317,0.8348512,1.3011786,1.8944779,1.3970642,2.9346751,1.5488137,1.7335016,3.4578825,2.5515576,2.9416833,3.1358110,1.4806611,2.3063507,3.2588218,3.6504796,3.3570770,3.3305530,3.5986723,2.9400250,3.7305386,4.0375374,4.4900160,3.3274387,3.3547635,4.4148793,5.2331235,4.3475556,4.8562331,5.3852496,5.4704796
2.5357960,2.8035690,1.9619782,0.0000000,3.3927886,1.4374040,2.0338804,1.8995560,1.5509263,0.3779235,1.2424929,2.3172349,1.6719649,3.0388892,1.6307087,2.3763752,1.3762701,2.6041755,1.5300961,2.2681619,1.6458087,2.3488495,1.9382925,2.0873394,2.4957382,2.1292747,2.5314921,1.9828319,1.2694371,1.8336060,1.8350714,1.8605977,2.1481646,2.5937395,3.4136935,2.9574956,2.8054413,1.9806575,2.7561126,2.5571854,3.7296577,2.6525795,2.8851781,3.0152622,4.2929237,4.0193669,3.8932217,4.1848095,4.4710495
3.6468782,2.4518495,2.1172075,3.3927886,0.0000000,2.1546777,3.0003381,2.0937478,3.1144820,3.1552843,3.2974053,1.9308605,4.0865962,3.5565651,1.9011605,2.1913369,2.8212089,1.3553919,3.3864267,2.1108837,3.0068134,2.0833924,2.5528272,3.8647900,1.5795891,2.5879373,4.1508389,3.4676725,4.1120751,4.0874221,2.6319046,2.8606630,4.2100854,4.4457566,3.1539427,4.0703816,4.3136275,4.0472171,5.1224163,5.2253512,5.1291875,3.9875174,3.6054919,5.4135784,6.8345686,4.4989528,5.4230828,6.0188651,5.9333685
2.0408769,1.6369558,1.2313617,1.4374040,2.1546777,0.0000000,1.9676858,0.6916821,1.4211910,1.2518654,1.1992741,1.5069695,1.9825709,3.0579437,0.4932591,1.6450723,0.7819534,1.2938039,1.3461836,1.3657877,1.3349609,1.0511781,1.7131389,1.9506717,1.1966648,1.1271810,2.3776156,1.6063052,2.2651721,2.1156536,1.1103377,1.2323719,2.2781753,2.6111735,2.4024649,2.4931207,2.6126070,2.2403789,3.1734667,3.3179001,3.5395285,2.4325281,2.3715006,3.5491924,5.0978490,3.4434038,3.9046963,4.4214562,4.7292872
3.5262227,3.2053281,1.1041041,2.0338804,3.0003381,1.9676858,0.0000000,1.7648210,1.1314262,1.9771254,2.0778588,1.1179360,3.0279552,1.2215281,2.0044863,0.9915972,2.0127266,2.9163607,2.3063590,1.2564909,1.2880325,2.6546452,1.1149261,3.2876752,2.2539027,2.2448170,3.8783618,2.9283944,2.7731868,3.3538234,1.7305254,2.7442946,3.4692434,3.9505177,4.0391961,3.6784692,3.8879768,2.8227362,3.5108152,3.7836284,4.7599303,3.4793507,3.6806983,4.3153955,4.4624378,4.6796924,4.9439554,5.3960570,5.2473447
2.1067215,1.5058666,0.9383313,1.8995560,2.0937478,0.6916821,1.7648210,0.0000000,1.1962584,1.7587127,1.3056032,1.1825289,2.2195219,2.8671835,0.9345417,1.2616619,0.9134412,1.4829301,1.3987224,0.9157093,1.0999027,1.0260384,1.7511343,2.1669097,1.0174643,0.8906417,2.6523177,1.7522540,2.7369619,2.4986835,0.9543867,1.5582427,2.5593501,2.8837479,2.4468287,2.4751370,2.7862933,2.4544104,3.2392741,3.6396027,3.6517983,2.6050713,2.5741510,3.8626081,5.1482331,3.4961584,4.1203361,4.7073796,5.0215018
2.5079748,2.4667064,1.1838492,1.5509263,3.1144820,1.4211910,1.1314262,1.1962584,0.0000000,1.5490738,1.0345092,1.4810675,1.9925290,2.3177445,1.6774242,1.3713317,1.1060684,2.5859117,1.2383853,1.2486204,0.4448421,2.0262679,1.6142790,2.2656883,1.9850698,1.4661137,2.8761928,1.9379020,2.3430471,2.4544647,1.1222262,2.0192048,2.5132466,2.9597164,3.2649277,2.6730605,2.9169381,2.1366533,2.6546572,3.1480863,3.7635586,2.6979782,2.9704586,3.5506413,4.2053735,3.8827983,4.1338535,4.6211046,4.8832467
2.5948789,2.7370695,1.8702794,0.3779235,3.1552843,1.2518654,1.9771254,1.7587127,1.5490738,0.0000000,1.2613800,2.1428390,1.7565377,2.9541801,1.3533463,2.2075708,1.2527508,2.3477534,1.5111379,2.0817421,1.5534386,2.1243130,1.6921560,2.0407218,2.2244729,1.9430723,2.4793609,1.8789717,1.1795811,1.7811201,1.6142913,1.6070960,2.0889403,2.5439879,3.2031868,2.8562110,2.7009977,1.8166884,2.7580079,2.5141038,3.6456012,2.4493586,2.6298849,2.9541304,4.3072839,3.8068774,3.7428602,4.0620103,4.2411163
